PCB Reference," Part Description",Package Size," Quantity per Board"
R1,5.6kΩ Resistor,THT,1
R2,3.3kΩ Resistor,THT,1
U1,555 Timer,DPI-8,1
C1,100uF Capacitor,THT,1
C2 (Optional),0.1uF Capacitor,THT,1
C3 (Optiona), 0.1uF Capacitor,SMD-1206,1
D1-D12,5mm LED,THT,12
R3-R14,270Ω Resistor,SMD-1206,12
J1,9v Harness,Wire,1
